rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/entropy_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/approx_kl
-0.11979999999999999,6,1,326,11.98,2048,,,,,,,,,,
4.905399999999999,16,2,250,9.47,4096,10,658.9287960977788,0.01,-0.009843006334267556,1194.7137451171875,-1.3684397023171186,0.2,0.3197265625,-0.00021457672119140625,0.017076828
14.915100000000002,25,3,241,8.52,6144,20,973.2046025560688,0.01,0.004210749678895809,241.951416015625,-1.3505287650972604,0.2,0.19716796875,0.0026769638061523438,0.018434182
9.9161,35,4,231,8.41,8192,30,3836.923710936308,0.01,-0.005746276525314897,1866.654052734375,-1.2704690139740706,0.2,0.268359375,0.0009326338768005371,0.015870862
29.907499999999995,44,5,227,9.31,10240,40,5540.046236467361,0.01,-0.01518604097655043,4563.16845703125,-1.2457268569618463,0.2,0.123193359375,0.08059340715408325,0.012238059
24.912000000000006,55,6,223,8.85,12288,50,6560.65746512413,0.01,-0.016318475126172415,4413.837890625,-1.1929982241243124,0.2,0.1904296875,0.1108056902885437,0.015714476
89.90460000000002,63,7,226,9.72,14336,60,11421.016920471191,0.01,-0.016216836811508983,3990.503662109375,-1.1392697431147099,0.2,0.10908203125,0.15173858404159546,0.012580346
89.90170000000002,73,8,223,10.01,16384,70,18064.43745727539,0.01,-0.014054532899172046,6423.796875,-1.0526608066633343,0.2,0.13681640625,0.2052847146987915,0.012211373
134.90300000000002,83,9,222,9.97,18432,80,22072.408932495116,0.01,-0.01311890544311609,10585.689453125,-0.9641532067209482,0.2,0.124951171875,0.21055757999420166,0.012582065
144.9051,92,10,222,9.78,20480,90,26003.95242919922,0.01,-0.016012576312641615,13243.17578125,-0.8603656286373734,0.2,0.1248046875,0.21927613019943237,0.009768831
