time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/n_updates,train/is_line_search_success,train/value_loss,train/learning_rate,train/policy_objective,train/kl_divergence_loss
342,5,10.98,1,-10.0998,2048,,,,,,,
323,12,10.24,2,-4.9924,4096,0.0007439851760864258,1,1.0,2462.6907781600953,0.01,0.018683744594454765,0.0018527160864323378
314,19,10.51,3,5.204900000000001,6144,0.07883286476135254,2,1.0,2630.576010131836,0.01,0.012565340846776962,0.002795292530208826
312,26,10.36,4,-4.9936,8192,0.15388858318328857,3,1.0,4015.9201164245605,0.01,0.018863311037421227,0.0031147063709795475
315,32,11.65,5,5.193500000000001,10240,0.201093852519989,4,1.0,3428.267966079712,0.01,0.016714073717594147,0.0026063069235533476
311,39,13.02,6,35.7798,12288,0.19194865226745605,5,1.0,4087.982053375244,0.01,0.016532227396965027,0.00373036228120327
316,45,10.93,7,40.90070000000001,14336,0.25363242626190186,6,1.0,10304.198849487304,0.01,0.022938689216971397,0.00451654801145196
310,52,12.38,8,71.4862,16384,0.3094104528427124,7,1.0,11432.568606567384,0.01,0.024007290601730347,0.004944286309182644
313,58,10.21,9,102.10790000000001,18432,0.282581627368927,8,1.0,16173.942919921876,0.01,0.024346787482500076,0.006634433753788471
310,65,11.32,10,122.49680000000002,20480,0.3124622106552124,9,1.0,22040.436596679687,0.01,0.027810538187623024,0.00608454504981637
